Date,Time,Level,Direction,Rate of Increase,Rate of Decrease,Time to Overflow,Time to Low Level,Minimum Level,Maximum Level
2023-11-19,15:02:24,1.8,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:02:34,1.8,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:02:44,1.8,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:02:55,1.8,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:03:05,1.8,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:03:16,1.8,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:03:26,1.8,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:03:36,1.9,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:03:47,1.8,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:03:57,1.8,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:04:08,1.9,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:04:18,1.9,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:04:29,1.9,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:04:39,1.9,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:04:50,1.9,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:05:00,1.9,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:05:10,1.9,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:05:21,1.9,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:05:31,1.9,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:05:42,1.9,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:05:52,1.9,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:06:03,1.9,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:06:13,1.9,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:06:23,1.9,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:06:34,1.9,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:06:44,1.9,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:06:54,1.9,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:07:05,2.0,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:07:15,2.0,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:07:25,2.0,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:07:36,2.0,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:07:46,2.0,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:07:56,2.0,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:08:07,2.0,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:08:17,2.0,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:08:28,2.0,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:08:38,2.0,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:08:48,2.0,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:08:59,2.0,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:09:09,2.0,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:09:19,2.0,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:09:30,2.0,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:09:40,2.0,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:09:50,2.0,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:10:01,2.0,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:10:11,2.0,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:10:21,2.0,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:10:31,2.1,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:10:42,2.1,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:10:52,2.1,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:11:02,2.1,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:11:12,2.1,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:11:23,2.1,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:11:33,2.1,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:11:43,2.1,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:11:53,2.1,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:12:04,2.1,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:12:14,2.1,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:12:24,2.1,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:12:34,2.1,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:12:45,2.1,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:12:55,2.1,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:13:05,2.1,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:13:16,2.1,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:13:26,2.1,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:13:36,2.1,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:13:47,2.2,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:13:57,2.1,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:14:07,2.2,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:14:18,2.2,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:14:28,2.1,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:14:39,2.2,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:14:49,2.2,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:15:02,2.2,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:15:13,2.2,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:15:26,2.2,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:15:37,2.2,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:15:47,2.2,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:15:58,2.2,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:16:09,2.2,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:16:20,2.2,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:16:30,2.2,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:16:40,2.2,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:16:51,2.2,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:17:02,2.2,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:17:13,2.2,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:17:23,2.2,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:17:34,2.2,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:17:45,2.2,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:17:55,2.3,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:18:06,2.3,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:18:16,2.3,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:18:26,2.3,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:18:37,2.3,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:18:47,2.3,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:18:57,2.3,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:19:08,2.3,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:19:18,2.3,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:19:29,2.3,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:19:39,2.3,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:19:50,2.3,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:20:00,2.3,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:20:10,2.3,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:20:21,2.3,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:20:31,2.3,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:20:41,2.3,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:20:51,2.3,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:21:02,2.3,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:21:12,2.3,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:21:22,2.3,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:21:32,2.3,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:21:43,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:21:53,2.4,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:22:03,2.4,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:22:13,2.4,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:22:24,2.4,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:22:34,2.4,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:22:44,2.4,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:22:54,2.4,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:23:05,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:23:15,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:23:25,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:23:35,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:23:46,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:23:56,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:24:07,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:24:17,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:24:27,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:24:38,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:24:48,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:24:59,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:25:09,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:25:19,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:25:29,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:25:40,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:25:50,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:26:00,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:26:10,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:26:21,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:26:31,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:26:41,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:26:51,2.5,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,15:27:02,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:27:12,2.4,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:27:22,2.5,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,15:27:32,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:27:43,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:27:53,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:28:03,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:28:13,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:28:24,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:28:34,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:28:44,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:28:54,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:29:04,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:29:15,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:29:25,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:29:35,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:29:45,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:29:56,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:30:06,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:30:16,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:30:26,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:30:36,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:30:47,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:30:57,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:31:07,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:31:17,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:31:28,2.6,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:31:38,2.6,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:31:48,2.6,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:31:58,2.5,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:32:09,2.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,15:32:19,2.6,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
